word,category,subcategory,tense,possible_S,possible_DO,possible_IO
abeslari,n,person,_,_,_,_
abokatu,n,person,_,_,_,_
agure,n,person,_,_,_,_
aktore,n,person,_,_,_,_
albaitari,n,person,_,_,_,_
argazkilari,n,person,_,_,_,_
arkitekto,n,person,_,_,_,_
arrantzale,n,person,_,_,_,_
atso,n,person,_,_,_,_
bidaiari,n,person,_,_,_,_
botikari,n,person,_,_,_,_
dantzari,n,person,_,_,_,_
diseinatzaile,n,person,_,_,_,_
emakume,n,person,_,_,_,_
enpresaburu,n,person,_,_,_,_
entrenatzaile,n,person,_,_,_,_
epaile,n,person,_,_,_,_
erizain,n,person,_,_,_,_
errementari,n,person,_,_,_,_
ertzain,n,person,_,_,_,_
gizon,n,person,_,_,_,_
haur,n,person,_,_,_,_
idazkari,n,person,_,_,_,_
idazle,n,person,_,_,_,_
ikasle,n,person,_,_,_,_
ingeniari,n,person,_,_,_,_
irakasle,n,person,_,_,_,_
itzultzaile,n,person,_,_,_,_
kazetari,n,person,_,_,_,_
kirolari,n,person,_,_,_,_
kontulari,n,person,_,_,_,_
lapur,n,person,_,_,_,_
lehendakari,n,person,_,_,_,_
liburuzain,n,person,_,_,_,_
lorezain,n,person,_,_,_,_
margolari,n,person,_,_,_,_
mediku,n,person,_,_,_,_
musikari,n,person,_,_,_,_
mutil,n,person,_,_,_,_
nekazari,n,person,_,_,_,_
neska,n,person,_,_,_,_
nerabe,n,person,_,_,_,_
olerkari,n,person,_,_,_,_
pilotu,n,person,_,_,_,_
programatzaile,n,person,_,_,_,_
psikologo,n,person,_,_,_,_
saltzaile,n,person,_,_,_,_
sorosle,n,person,_,_,_,_
sukaldari,n,person,_,_,_,_
zientzialari,n,person,_,_,_,_
zirujau,n,person,_,_,_,_
ahate,n,animal,_,_,_,_
antilope,n,animal,_,_,_,_
antzara,n,animal,_,_,_,_
ardi,n,animal,_,_,_,_
armiarma,n,animal,_,_,_,_
arrain,n,animal,_,_,_,_
arrano,n,animal,_,_,_,_
arratoi,n,animal,_,_,_,_
asto,n,animal,_,_,_,_
azeri,n,animal,_,_,_,_
barraskilo,n,animal,_,_,_,_
behi,n,animal,_,_,_,_
dortoka,n,animal,_,_,_,_
elefante,n,animal,_,_,_,_
erbi,n,animal,_,_,_,_
erle,n,animal,_,_,_,_
euli,n,animal,_,_,_,_
gamelu,n,animal,_,_,_,_
gepardo,n,animal,_,_,_,_
hamster,n,animal,_,_,_,_
hartz,n,animal,_,_,_,_
hontz,n,animal,_,_,_,_
igel,n,animal,_,_,_,_
inurri,n,animal,_,_,_,_
indioilar,n,animal,_,_,_,_
jirafa,n,animal,_,_,_,_
katu,n,animal,_,_,_,_
karramarro,n,animal,_,_,_,_
krokodilo,n,animal,_,_,_,_
lehoi,n,animal,_,_,_,_
lehoinabar,n,animal,_,_,_,_
mapatxe,n,animal,_,_,_,_
marrazo,n,animal,_,_,_,_
musker,n,animal,_,_,_,_
oilo,n,animal,_,_,_,_
orein,n,animal,_,_,_,_
ostruka,n,animal,_,_,_,_
otso,n,animal,_,_,_,_
sagu,n,animal,_,_,_,_
suge,n,animal,_,_,_,_
tigre,n,animal,_,_,_,_
triku,n,animal,_,_,_,_
txakur,n,animal,_,_,_,_
txerri,n,animal,_,_,_,_
tximeleta,n,animal,_,_,_,_
tximino,n,animal,_,_,_,_
txolarre,n,animal,_,_,_,_
txori,n,animal,_,_,_,_
untxi,n,animal,_,_,_,_
uso,n,animal,_,_,_,_
zaldi,n,animal,_,_,_,_
zebra,n,animal,_,_,_,_
anana,n,food,_,_,_,_
aran,n,food,_,_,_,_
azenario,n,food,_,_,_,_
gaileta,n,food,_,_,_,_
gerezi,n,food,_,_,_,_
gozo,n,food,_,_,_,_
intxaur,n,food,_,_,_,_
laranja,n,food,_,_,_,_
mango,n,food,_,_,_,_
marrubi,n,food,_,_,_,_
masusta,n,food,_,_,_,_
mertxika,n,food,_,_,_,_
pastela,n,food,_,_,_,_
perretxiko,n,food,_,_,_,_
sagar,n,food,_,_,_,_
tomate,n,food,_,_,_,_
udare,n,food,_,_,_,_
arkatz,n,tool,_,_,_,_
botila,n,tool,_,_,_,_
edalontzi,n,tool,_,_,_,_
erregela,n,tool,_,_,_,_
giltza,n,tool,_,_,_,_
euritako,n,tool,_,_,_,_
hortzetako eskuila,n,tool,_,_,_,_
jostorratz,n,tool,_,_,_,_
kaldera,n,tool,_,_,_,_
kateorratz,n,tool,_,_,_,_
koilara,n,tool,_,_,_,_
kopa,n,tool,_,_,_,_
mailu,n,tool,_,_,_,_
ordenagailu,n,tool,_,_,_,_
pintzel,n,tool,_,_,_,_
plater,n,tool,_,_,_,_
poltsa,n,tool,_,_,_,_
sardexka,n,tool,_,_,_,_
telefono,n,tool,_,_,_,_
auto,n,transport,_,_,_,_
hegazkin,n,transport,_,_,_,_
kamioi,n,transport,_,_,_,_
tren,n,transport,_,_,_,_
abesti,n,text,_,_,_,_
eleberri,n,text,_,_,_,_
eskutitz,n,text,_,_,_,_
olerki,n,text,_,_,_,_
txosten,n,text,_,_,_,_
abesti,n,speech,_,_,_,_
berri,n,speech,_,_,_,_
garrasi,n,speech,_,_,_,_
istorio,n,speech,_,_,_,_
hitzaldi,n,speech,_,_,_,_
adreilu,n,other,_,_,_,_
arrosa,n,other,_,_,_,_
aulki,n,other,_,_,_,_
baloi,n,other,_,_,_,_
basabitxilore,n,other,_,_,_,_
burko,n,other,_,_,_,_
eskumuturreko,n,other,_,_,_,_
jostailu,n,other,_,_,_,_
koaderno,n,other,_,_,_,_
krisantemo,n,other,_,_,_,_
lepoko,n,other,_,_,_,_
liburu,n,other,_,_,_,_
lore,n,other,_,_,_,_
luma,n,other,_,_,_,_
panpin,n,other,_,_,_,_
tulipa,n,other,_,_,_,_
zitori,n,other,_,_,_,_
atseden hartu,v,nor,PST,person animal,_,_
atseden hartzen,v,nor,PRS,person animal,_,_
atseden hartuko,v,nor,FUT,person animal,_,_
barre egin,v,nor,PST,person,_,_
barre egiten,v,nor,PRS,person,_,_
barre egingo,v,nor,FUT,person,_,_
eseri,v,nor,PST,person animal,_,_
esertzen,v,nor,PRS,person animal,_,_
eseriko,v,nor,FUT,person animal,_,_
esnatu,v,nor,PST,person animal,_,_
esnatzen,v,nor,PRS,person animal,_,_
esnatuko,v,nor,FUT,person animal,_,_
etorri,v,nor,PST,person animal,_,_
etortzen,v,nor,PRS,person animal,_,_
etorriko,v,nor,FUT,person animal,_,_
irribarre egin,v,nor,PST,person,_,_
irribarre egiten,v,nor,PRS,person,_,_
irribarre egingo,v,nor,FUT,person,_,_
jauzi egin,v,nor,PST,person animal,_,_
jauzi egiten,v,nor,PRS,person animal,_,_
jauzi egingo,v,nor,FUT,person animal,_,_
korrika egin,v,nor,PST,person animal,_,_
korrika egiten,v,nor,PRS,person animal,_,_
