word,category,noun_class,semantic_class,possible_connections
bibi,n,5,human,_
mabibi,n,6,human,_
rafiki,n,5,human,_
marafiki,n,6,human,_
mgeni,n,1,human,_
wageni,n,2,human,_
mtoto,n,1,human,_
watoto,n,2,human,_
mwalimu,n,1,human,_
waalimu,n,2,human,_
mwanafunzi,n,1,human,_
wanafunzi,n,2,human,_
mwimbaji,n,1,human,_
waimbaji,n,2,human,_
mwanasheria,n,1,human,_
wanasheria,n,2,human,_
mzee,n,1,human,_
wazee,n,2,human,_
mwigizaji,n,1,human,_
waigizaji,n,2,human,_
mpiga picha,n,1,human,_
wapiga picha,n,2,human,_
mbunifu,n,1,human,_
wabunifu,n,2,human,_
mvuvi,n,1,human,_
wavuvi,n,2,human,_
msafiri,n,1,human,_
wasafiri,n,2,human,_
mchezaji,n,1,human,_
wachezaji,n,2,human,_
mwanamke,n,1,human,_
wanawake,n,2,human,_
mfanyabiashara,n,1,human,_
wafanyabiashara,n,2,human,_
mjasiriamali,n,1,human,_
wajasiriamali,n,2,human,_
kocha,n,5,human,_
makocha,n,6,human,_
hakimu,n,5,human,_
mahakimu,n,6,human,_
muuguzi,n,1,human,_
wauguzi,n,2,human,_
mhunzi,n,1,human,_
wahunzi,n,2,human,_
mzimamoto,n,1,human,_
wazimamoto,n,2,human,_
mwanamume,n,1,human,_
wanaume,n,2,human,_
katibu,n,5,human,_
makatibu,n,6,human,_
mwandishi,n,1,human,_
waandishi,n,2,human,_
mhandisi,n,1,human,_
wahandisi,n,2,human,_
mfasiri,n,1,human,_
wafasiri,n,2,human,_
mwanariadha,n,1,human,_
wanariadha,n,2,human,_
mhasibu,n,1,human,_
wahasibu,n,2,human,_
mwizi,n,1,human,_
wezi,n,2,human,_
rais,n,5,human,_
marais,n,6,human,_
mkutubi,n,1,human,_
wakutubi,n,2,human,_
mtunza bustani,n,1,human,_
watunza bustani,n,2,human,_
mchoraji,n,1,human,_
wachoraji,n,2,human,_
daktari,n,5,human,_
madaktari,n,6,human,_
mwanamuziki,n,1,human,_
wanamuziki,n,2,human,_
mvulana,n,1,human,_
wavulana,n,2,human,_
mkulima,n,1,human,_
wakulima,n,2,human,_
msichana,n,1,human,_
wasichana,n,2,human,_
kijana,n,7,human,_
vijana,n,8,human,_
mshairi,n,1,human,_
washairi,n,2,human,_
rubani,n,5,human,_
marubani,n,6,human,_
mtayarishaji programu,n,1,human,_
watayarishaji programu,n,2,human,_
mvumbuzi,n,1,human,_
wavumbuzi,n,2,human,_
mwanasaikolojia,n,1,human,_
wanasaikolojia,n,2,human,_
muuzaji,n,1,human,_
wauzaji,n,2,human,_
mlinzi,n,1,human,_
walinzi,n,2,human,_
mpishi,n,1,human,_
wapishi,n,2,human,_
mwanahabari,n,1,human,_
wanahabari,n,2,human,_
mwanasayansi,n,1,human,_
wanasayansi,n,2,human,_
mfalme,n,1,human,_
wafalme,n,2,human,_
malkia,n,9,human,_
malkia,n,10,human,_
mchungaji,n,1,human,_
wachungaji,n,2,human,_
bata,n,5,animal,_
mabata,n,6,animal,_
kondoo,n,9,animal,_
